## From Myers et al. Appl. Spectrosc., doi:10.1177/0003702820928358, 2020
wavenum,n,k
5920.547865,1.492431045,0.000338713
5920.065696,1.492427349,0.000338836
5919.583528,1.492423654,0.000338946
5919.101359,1.492419958,0.000339053
5918.619191,1.492416263,0.000339176
5918.137022,1.492412567,0.000339297
5917.654854,1.492408872,0.000339418
5917.172685,1.492405176,0.000339541
5916.690517,1.492401481,0.000339651
5916.208348,1.492397785,0.000339746
5915.72618,1.492393971,0.000339853
5915.244011,1.492390275,0.000339976
5914.761843,1.49238658,0.000340098
5914.279674,1.492382884,0.000340219
5913.797505,1.492379189,0.000340342
5913.315337,1.492375493,0.000340454
5912.833168,1.492371798,0.000340561
5912.351,1.492368102,0.000340685
5911.868831,1.492364287,0.000340807
5911.386663,1.492360592,0.000340929
5910.904494,1.492356896,0.000341052
5910.422326,1.492353201,0.000341163
5909.940157,1.492349386,0.000341259
5909.457989,1.492345691,0.000341366
5908.97582,1.492341995,0.00034149
5908.493652,1.4923383,0.000341613
5908.011483,1.492334485,0.000341735
5907.529314,1.49233079,0.000341859
5907.047146,1.492327094,0.000341971
5906.564977,1.492323399,0.000342079
5906.082809,1.492319584,0.000342204
5905.60064,1.492315888,0.000342326
5905.118472,1.492312193,0.000342449
5904.636303,1.492308497,0.000342574
5904.154135,1.492304683,0.000342685
5903.671966,1.492300987,0.000342781
5903.189798,1.492297292,0.00034289
5902.707629,1.492293596,0.000343014
5902.22546,1.492289782,0.000343137
5901.743292,1.492286086,0.00034326
5901.261123,1.492282391,0.000343385
5900.778955,1.492278576,0.000343498
5900.296786,1.49227488,0.000343607
5899.814618,1.492271066,0.000343732
5899.332449,1.49226737,0.000343856
5898.850281,1.492263556,0.000343979
5898.368112,1.49225986,0.000344104
5897.885944,1.492256045,0.000344217
5897.403775,1.49225235,0.000344313
5896.921607,1.492248535,0.000344422
5896.439438,1.49224484,0.000344548
5895.957269,1.492241025,0.000344672
5895.475101,1.49223733,0.000344796
5894.992932,1.492233515,0.000344921
5894.510764,1.492229819,0.000345034
5894.028595,1.492226005,0.000345144
5893.546427,1.492222309,0.00034527
5893.064258,1.492218494,0.000345394
5892.58209,1.492214799,0.000345519
5892.099921,1.492210984,0.000345645
5891.617753,1.49220717,0.000345758
5891.135584,1.492203474,0.000345855
5890.653416,1.492199659,0.000345965
5890.171247,1.492195845,0.000346091
5889.689078,1.49219203,0.000346216
5889.20691,1.492188335,0.000346341
5888.724741,1.492184639,0.000346467
5888.242573,1.492180824,0.000346581
5887.760404,1.49217701,0.000346692
5887.278236,1.492173314,0.000346818
5886.796067,1.492169499,0.000346943
5886.313899,1.492165685,0.000347069
5885.83173,1.49216187,0.000347195
5885.349562,1.492158175,0.000347309
5884.867393,1.49215436,0.000347407
5884.385224,1.492150545,0.000347518
5883.903056,1.49214673,0.000347645
5883.420887,1.492143035,0.00034777
5882.938719,1.49213922,0.000347896
5882.45655,1.492135406,0.000348023
5881.974382,1.492131591,0.000348138
5881.492213,1.492127776,0.000348249
5881.010045,1.492123961,0.000348377
5880.527876,1.492120147,0.000348502
5880.045708,1.492116332,0.000348628
5879.563539,1.492112637,0.000348756
5879.081371,1.492108822,0.000348871
5878.599202,1.492105007,0.000348969
5878.117033,1.492101193,0.00034908
5877.634865,1.492097378,0.000349208
5877.152696,1.492093563,0.000349335
5876.670528,1.492089748,0.000349461
5876.188359,1.492085934,0.000349589
5875.706191,1.492082119,0.000349704
5875.224022,1.492078304,0.000349816
5874.741854,1.49207449,0.000349945
5874.259685,1.492070675,0.000350071
5873.777517,1.49206686,0.000350198
5873.295348,1.492063046,0.000350327
5872.81318,1.492059231,0.000350442
5872.331011,1.492055416,0.000350541
5871.848842,1.492051601,0.000350653
5871.366674,1.492047787,0.000350782
5870.884505,1.492043972,0.000350909
5870.402337,1.492040157,0.000351036
5869.920168,1.492036343,0.000351165
5869.438,1.492032528,0.000351281
5868.955831,1.492028713,0.000351394
5868.473663,1.492024899,0.000351523
5867.991494,1.492021084,0.000351651
5867.509326,1.49201715,0.000351778
5867.027157,1.492013335,0.000351908
5866.544989,1.492009521,0.000352024
5866.06282,1.492005706,0.000352123
5865.580651,1.492001891,0.000352236
5865.098483,1.491998076,0.000352366
5864.616314,1.491994262,0.000352493
5864.134146,1.491990447,0.000352621
5863.651977,1.491986513,0.000352751
5863.169809,1.491982698,0.000352868
5862.68764,1.491978884,0.000352982
5862.205472,1.491975069,0.000353112
5861.723303,1.491971135,0.00035324
5861.241135,1.49196732,0.000353368
5860.758966,1.491963506,0.000353499
5860.276797,1.491959691,0.000353615
5859.794629,1.491955757,0.000353716
5859.31246,1.491951942,0.000353829
5858.830292,1.491948128,0.00035396
5858.348123,1.491944194,0.000354088
5857.865955,1.49194026,0.000354217
5857.383786,1.491936445,0.000354348
5856.901618,1.491932631,0.000354466
5856.419449,1.491928816,0.00035458
5855.937281,1.491924882,0.000354711
5855.455112,1.491921067,0.00035484
5854.972944,1.491917253,0.000354969
5854.490775,1.491913319,0.0003551
5854.008606,1.491909504,0.000355218
